value	char	codepoint	class	symbol	tier	hatch	fill	spoken	glyph	svg	urlsafe_alias
33	h	U+0068	Shapes	Circle	Blue	Dots	dots	circle dots	circle.dots	u0068.svg	
34	i	U+0069	Shapes	Triangle	Blue	Dots	dots	triangle dots	triangle.dots	u0069.svg	
35	j	U+006A	Shapes	Square	Blue	Dots	dots	square dots	square.dots	u006A.svg	
36	k	U+006B	Suits	Clubs	Blue	Dots	dots	clubs dots	clubs.dots	u006B.svg	
37	l	U+006C	Suits	Diamonds	Blue	Dots	dots	diamonds dots	diamonds.dots	u006C.svg	
38	m	U+006D	Suits	Hearts	Blue	Dots	dots	hearts dots	hearts.dots	u006D.svg	
39	n	U+006E	Suits	Spades	Blue	Dots	dots	spades dots	spades.dots	u006E.svg	
40	o	U+006F	Elements	Water	Blue	Dots	dots	water dots	water.dots	u006F.svg	
41	p	U+0070	Elements	Fire	Blue	Dots	dots	fire dots	fire.dots	u0070.svg	
42	q	U+0071	Elements	Air	Blue	Dots	dots	air dots	air.dots	u0071.svg	
43	r	U+0072	Elements	Earth	Blue	Dots	dots	earth dots	earth.dots	u0072.svg	
44	s	U+0073	Powers	Mushroom	Blue	Dots	dots	mushroom dots	mushroom.dots	u0073.svg	
45	t	U+0074	Powers	Flower	Blue	Dots	dots	flower dots	flower.dots	u0074.svg	
46	u	U+0075	Powers	Star	Blue	Dots	dots	star dots	star.dots	u0075.svg	
47	v	U+0076	Powers	Moon	Blue	Dots	dots	moon dots	moon.dots	u0076.svg	
48	w	U+0077	Shapes	Cross	Red	Line	lines	cross lines	cross.lines	u0077.svg	
49	x	U+0078	Shapes	Circle	Red	Line	lines	circle lines	circle.lines	u0078.svg	
50	y	U+0079	Shapes	Triangle	Red	Line	lines	triangle lines	triangle.lines	u0079.svg	
51	z	U+007A	Shapes	Square	Red	Line	lines	square lines	square.lines	u007A.svg	
52	0	U+0030	Suits	Clubs	Red	Line	lines	clubs lines	clubs.lines	u0030.svg	
53	1	U+0031	Suits	Diamonds	Red	Line	lines	diamonds lines	diamonds.lines	u0031.svg	
54	2	U+0032	Suits	Hearts	Red	Line	lines	hearts lines	hearts.lines	u0032.svg	
55	3	U+0033	Suits	Spades	Red	Line	lines	spades lines	spades.lines	u0033.svg	
56	4	U+0034	Elements	Water	Red	Line	lines	water lines	water.lines	u0034.svg	
57	5	U+0035	Elements	Fire	Red	Line	lines	fire lines	fire.lines	u0035.svg	
58	6	U+0036	Elements	Air	Red	Line	lines	air lines	air.lines	u0036.svg	
59	7	U+0037	Elements	Earth	Red	Line	lines	earth lines	earth.lines	u0037.svg	
60	8	U+0038	Powers	Mushroom	Red	Line	lines	mushroom lines	mushroom.lines	u0038.svg	
61	9	U+0039	Powers	Flower	Red	Line	lines	flower lines	flower.lines	u0039.svg	
62	+	U+002B	Powers	Star	Red	Line	lines	star lines	star.lines	u002B.svg	-
63	/	U+002F	Powers	Moon	Red	Line	lines	moon lines	moon.lines	u002F.svg	_
